gyrx,gyry,gyrz,accx,accy,accz,magx,magy,magz,timer
0.14875,-0.091875,0.035,-412.36,-91.256,914.024,0.282,0.0945,0.216,7
-0.004375,-0.035,-0.039375,2.928,5.856,-2.44,0.2925,0.093,0.2145,200
0.039375,-0.02625,-0.065625,3.904,0.976,-6.344,0.2985,0.0975,0.2205,393
-0.1575,-0.048125,-0.07875,-0.488,-2.928,-3.416,0.297,0.0915,0.2145,586
0.00875,0.056875,-0.109375,-6.344,2.44,2.44,0.3015,0.096,0.228,779
-0.153125,0.100625,-0.074375,-0.488,0.0,-2.928,0.2925,0.1005,0.216,1745
0.02625,0.021875,0.039375,-3.904,-4.88,7.808,0.288,0.0915,0.219,1938
0.0875,0.00875,-0.07,2.928,-6.344,6.344,0.2925,0.0915,0.2235,2131
-0.065625,-0.126875,-0.056875,2.44,4.88,3.416,0.3135,0.099,0.2265,2324
-0.07,0.06125,0.0175,-1.464,-1.464,-2.928,0.2955,0.093,0.2235,2710
-0.0875,0.030625,0.021875,-6.832,-4.88,0.488,0.2925,0.0915,0.213,2874
0.004375,0.039375,-0.02625,-0.976,0.0,0.488,0.2985,0.0915,0.213,3839
-0.091875,0.07,-0.07875,-0.976,0.0,-1.464,0.3015,0.0945,0.2265,4785
-0.18375,0.11375,-0.109375,-1.464,-2.44,-4.88,0.2955,0.093,0.216,4979
0.030625,-0.09625,-0.035,-4.392,-0.488,1.464,0.285,0.093,0.21,5172
0.00875,-0.056875,0.118125,-1.464,-5.856,4.392,0.3,0.0945,0.2175,5365
-0.07,0.039375,-0.083125,3.416,4.392,-5.368,0.2955,0.1035,0.216,5751
0.06125,-0.109375,-0.004375,-1.464,-0.488,5.856,0.3,0.102,0.216,6137
0.14,-0.056875,-0.0175,1.464,3.904,2.44,0.297,0.1005,0.2175,6330
-0.1575,0.07875,-0.035,3.904,2.44,-0.976,0.3015,0.093,0.2205,6523
-0.074375,0.004375,-0.074375,-0.488,0.0,-14.152,0.3015,0.099,0.2055,6697
-0.056875,-0.0525,-0.06125,-1.464,1.464,0.976,0.2925,0.096,0.219,7083
0.074375,0.004375,0.161875,-1.464,0.976,5.368,0.2925,0.099,0.2175,7276
0.07,-0.0525,-0.0525,0.0,-1.952,1.464,0.3,0.0945,0.2205,8048
0.004375,-0.048125,0.06125,3.904,1.952,-5.856,0.2955,0.099,0.213,8241
0.004375,0.091875,-0.074375,-0.976,-0.976,2.44,0.297,0.102,0.222,8628
0.06125,-0.030625,-0.0175,2.44,-2.928,0.976,0.2985,0.1035,0.2205,8821
-0.07,0.004375,-0.135625,2.44,10.248,-1.464,0.291,0.093,0.222,9014
-0.196875,0.039375,-0.0175,-2.44,-2.928,-4.88,0.303,0.105,0.222,9207
0.021875,-0.144375,0.00875,-0.488,-1.464,4.88,0.2985,0.0915,0.228,9564
0.118125,0.039375,0.04375,2.928,2.44,1.952,0.303,0.099,0.216,10529
0.004375,-0.04375,-0.048125,2.44,-3.904,2.44,0.2985,0.093,0.225,11109
0.091875,0.02625,-0.035,4.392,0.0,0.488,0.2925,0.0945,0.2235,11475
-0.065625,0.0,0.0175,1.464,4.88,-6.344,0.3075,0.0975,0.2205,11668
-0.030625,-0.065625,-0.039375,-0.976,-3.904,-0.976,0.3015,0.0945,0.2205,11861
-0.013125,-0.105,0.035,-6.344,-3.904,5.856,0.3015,0.099,0.234,12634
-0.035,-0.09625,0.004375,2.44,1.952,-0.976,0.297,0.099,0.2145,13773
-0.083125,0.04375,0.02625,-0.488,3.904,-0.976,0.294,0.096,0.2145,13966
0.06125,0.013125,0.06125,-4.88,-1.464,5.368,0.297,0.099,0.2235,14159
0.0875,-0.065625,-0.0175,1.464,0.0,2.44,0.297,0.096,0.222,14352
0.118125,0.00875,0.0525,0.976,0.0,0.0,0.297,0.108,0.2175,14931
-0.109375,0.030625,0.004375,1.464,0.0,-2.44,0.2835,0.1005,0.2175,15125
-0.0175,-0.11375,-0.100625,3.416,3.416,0.0,0.2955,0.0975,0.231,15298
-0.126875,-0.02625,-0.04375,-3.416,-2.928,0.976,0.2895,0.0975,0.2175,16071
0.07,0.035,-0.083125,0.976,-1.952,0.0,0.3,0.0945,0.2235,16264
-0.013125,0.035,0.074375,-6.344,0.0,0.488,0.303,0.0915,0.228,16650
-0.1575,-0.0525,-0.0875,3.416,2.44,-5.368,0.2955,0.093,0.222,17036
0.0525,-0.065625,0.065625,0.0,0.488,2.928,0.294,0.099,0.216,17210
-0.100625,0.048125,-0.04375,0.0,0.488,-6.344,0.3,0.096,0.2205,17403
0.100625,-0.048125,-0.056875,-4.88,0.488,3.904,0.2925,0.0915,0.2205,17596
0.039375,-0.004375,-0.030625,-0.488,-0.976,0.0,0.3045,0.093,0.2205,17789
-0.021875,0.074375,-0.0875,-4.88,0.0,4.392,0.2955,0.0945,0.228,18175
-0.0175,0.013125,0.14875,-1.464,0.488,0.0,0.297,0.099,0.219,18561
0.035,-0.083125,-0.074375,0.976,7.32,-4.392,0.2955,0.0945,0.2325,18948
-0.00875,-0.0175,0.09625,2.928,-6.344,-1.464,0.2955,0.0945,0.219,19121
-0.056875,-0.00875,-0.07875,-3.904,3.904,-2.928,0.2865,0.0975,0.216,19314
0.048125,-0.00875,0.021875,-5.368,0.488,6.832,0.303,0.099,0.222,19507
-0.07,0.030625,-0.035,-0.488,0.488,-2.928,0.2985,0.099,0.2175,19894
-0.07,0.0525,-0.118125,-11.224,-11.712,6.832,0.3015,0.093,0.2175,20087
-0.048125,-0.021875,0.083125,-4.88,-5.368,5.368,0.2955,0.0975,0.219,20666
0.021875,0.06125,-0.030625,4.88,1.952,-0.488,0.3075,0.096,0.2235,20859
-0.013125,-0.004375,-0.004375,2.928,-2.928,1.464,0.3,0.096,0.2325,21033
-0.153125,-0.021875,-0.06125,0.976,-1.464,-6.832,0.291,0.0915,0.2235,21226
0.004375,0.056875,-0.100625,0.0,-4.392,2.928,0.3015,0.0915,0.216,21998
0.065625,0.0175,0.004375,0.976,2.928,-3.416,0.3015,0.096,0.228,22191
0.100625,0.021875,0.06125,-2.44,3.416,6.832,0.2985,0.0945,0.216,22384
-0.056875,0.02625,-0.013125,-4.88,-2.44,3.904,0.2985,0.102,0.2235,22770
0.11375,0.074375,0.06125,-5.368,-4.392,1.952,0.2925,0.093,0.2295,23137
0.083125,-0.0175,-0.035,-2.44,3.416,2.44,0.3,0.096,0.225,23523
0.301875,0.02625,0.074375,0.976,-0.488,2.928,0.2955,0.096,0.219,23716
-0.048125,-0.00875,-0.06125,-2.44,3.416,3.416,0.303,0.096,0.2175,24488
0.048125,-0.0525,-0.013125,0.0,-4.392,2.44,0.294,0.0945,0.228,25068
-0.175,-0.02625,-0.105,2.928,0.0,-4.392,0.3,0.0945,0.2205,25261
0.0875,-0.02625,-0.14,-3.416,2.928,4.392,0.2955,0.099,0.2235,25454
